Numéro (Code);Ancien numéro;Nom;Description;Détails;Actif;Prix unitaire;Prix d'achat;Unité de mesure;Classe de produit (Code);Groupe de produit (Code);Pas de taxe;Date de fin de vente;Activer l'alerte;Nombre de jours pour l'alerte;Quantité critique;Quantité en stock;Quantité initiale;ISBN;EAN;UPC;Gérer l'inventaire;Entrepôt ;Emplacement boutique;Emplacement entrepôt 
P10001;;IRAM83 - 160M4A;"N2= 76; i= 18.47; P= 11kw; d= 50x100 mm; opts= BR (frein)  ";;1;2700000;898950;;HÉLICOÏDAL IRAM;MOTOREDUCTEURS;0;31/12/2099 00:00:00;1;1;1000000;0;;;;;1;;;
P10003;;IRAM73 - 100L4A;"N2= 27; i= 52.47; P= 2.2kw; d= 40x80 mm;";;1;1072500;429000;;HÉLICOÏDAL IRAM;MOTOREDUCTEURS;0;31/12/2099 00:00:00;0;0;1000000;0;;;;;1;;;
P10004;;IRAM631 - 80M4B;"N2= 40; i= 35.74; P= 0.75kw; d= 30x60 mm;";;1;485000;189150;;HÉLICOÏDAL IRAM;MOTOREDUCTEURS;0;31/12/2099 00:00:00;0;0;1000000;0;;;;;1;;;
P10005;;IRSAM65 - 90L4A - TL - SR - 111;"P= 1.5 KW ; N2=  57.2 tr/min ; i= 25 ; TL= Bras de couple gauche; SR= renvoi  d’arbre à droite; 111= diamètre spécial de l'arbre";;1;750750;294000;;IRSAM;MOTOREDUCTEURS;0;31/12/2099 00:00:00;0;0;1000000;0;;;;;1;;;
P10006;;IRKM73 - 90S4C - SL - 111;"P= 5.5 KW ; N2=  102 tr/min ; i= 13.75 ; SL= renvoi  d’arbre à gauche; 111= diamètre spécial de l'arbre";;1;1312919;520000;;IRK - COUPLE CONIQUE;MOTOREDUCTEURS;0;31/12/2099 00:00:00;0;0;1000000;0;;;;;1;;;
P10009;;2.2 KW - 1500trs - B35;"AAP100L4A; IP55; cosphi= 0.74; IE3";;1;335790;82615;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10010;;2.2 KW - 1500trs  - B35 - BR;"AAP100L4A; IP55; cosphi= 0.74; IE3; avec frein";;1;386000;0;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;0;100;0;;;;;1;;;
P10011;;4 KW - 1500trs - B3;"AAP112M4A ; IP55; cosphi= 0.82; IE3; ";;1;486486;119600;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;0;100;0;;;;;1;;;
P10012;;4 KW -3000trs - B3;"AAP112M2A ; IP55; cosphi= 0.86; IE3; ";;1;407862;0;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;10;100;0;;;;;1;;;
P10013;;5.5 KW - 3000trs - B35;"AAP132S2A; IP55; IE3; cosphi= 0.9";;1;576576;0;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;10;100;0;;;;;1;;;
P10014;;7.5 KW - 1500trs - B35;"AAP132M4A; IP55; IE3; cosphi= 0.75";;1;705500;0;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;10;100;0;;;;;1;;;
P10015;;CABLE RIGIDE R02V 1000V 4X4;CABLE ELECTRIQUE ;;1;2200;1800;m;;APPAREILLAGES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10016;;EMBOUT FILETE 316L INOX 2''60x50;;;1;5000;3500;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10017;;COSSE A OEIL 16x8mm ;;;1;500;350;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10018;;DISJONCTEUR MOTEUR GV2 3P 4 à 6A ;;;1;25000;38000;;;;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10019;;CONTACTEUR SIEMENS 3RT2037-1AK60;110V, 3P;;1;350000;240000;;;APPAREILLAGES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10020;;PALET;45147;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10021;;REPERE BRAIN;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10022;;RALONGE 05;78363;LEXMAN;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10023;;RALONGE 08;78363;FOXTER;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10024;;TESTEUR DE PRISES (2P+T)ET DE DIFFERENTIELS;VT 35;MULTINETRIX;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10025;;COLIERS(100 coliers);1637/03;INGELEC;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10026;;BOPINE;300AA001261;ERTON;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10027;;PRISE;13W38;IAKI;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10028;;MANETTE DE COMMANDE;T.04.76.34.18.;RM2M;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10029;;CONVERTISSEUR;21100700114;ATLAINS;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10030;;BOUGIE;7092;G-POWER;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10031;;BAGUES REPERES;912-35-A;HWECMANN;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10032;;PROJECTEUR LAD;3U2835-A;TYTON;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10033;;UNIVERSAL-SWTCHBOARD-KEY;8803;BDS;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10034;;BOITE DE DERIVATION;100*100*70;ANDELI;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10035;;REDRESSEUR;BG1,5;SEW;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10036;;PRESSE TOP;m32*1,5;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10037;;PRESSE TOP;m25*1,5;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10038;;BOITE DE SEPARATION;2310;WEGELEC;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10039;;TRANSFORMATION 220V/240V;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10040;;TRANSFORMATION DE SEPARATION DE CIRCUIT;ABL6TS;SCHENEIDER;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10041;;MEGO-METRE UNI-T;4T501A;UNI-T;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
